Volume (micrometer^3),Surface (micrometer^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micrometer),SD dist. to surf. (micrometer),Median dist. to surf. (micrometer),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
44,0,44,0,0,0,0,0,0,0,864.705,395.932,2.591,0,0,0,0,0,0,0,0,0,0,0,0
26,0,26,0,0,0,0,0,0,0,513.962,427.769,2.500,0,0,0,0,0,0,0,0,0,0,0,0
49,0,49,0,0,0,0,0,0,0,1215.857,469.673,2.061,0,0,0,0,0,0,0,0,0,0,0,0
39,0,39,0,0,0,0,0,0,0,1058.205,475.538,2.026,0,0,0,0,0,0,0,0,0,0,0,0
26,0,26,0,0,0,0,0,0,0,853.077,487.308,1.308,0,0,0,0,0,0,0,0,0,0,0,0
41,0,41,0,0,0,0,0,0,0,314.317,617.390,1.317,0,0,0,0,0,0,0,0,0,0,0,0
43,0,43,0,0,0,0,0,0,0,306.930,676.814,1.279,0,0,0,0,0,0,0,0,0,0,0,0
61,0,61,0,0,0,0,0,0,0,939.410,1129.984,1.311,0,0,0,0,0,0,0,0,0,0,0,0
82,0,82,0,0,0,0,0,0,0,936.366,1149.659,2.159,0,0,0,0,0,0,0,0,0,0,0,0
26,0,26,0,0,0,0,0,0,0,723.154,1145.462,4.000,0,0,0,0,0,0,0,0,0,0,0,0
28,0,28,0,0,0,0,0,0,0,680.929,240.536,6.464,0,0,0,0,0,0,0,0,0,0,0,0
91,0,91,0,0,0,0,0,0,0,633.374,430.143,6.143,0,0,0,0,0,0,0,0,0,0,0,0
168,0,168,0,0,0,0,0,0,0,806.589,942.679,6.786,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,0,0,0,0,0,0,554.643,1045.714,4.357,0,0,0,0,0,0,0,0,0,0,0,0
12,0,12,0,0,0,0,0,0,0,895.167,229.250,5.667,0,0,0,0,0,0,0,0,0,0,0,0
43,0,43,0,0,0,0,0,0,0,1032.349,892.930,6.628,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,0,0,0,0,0,0,987.800,905.600,5.800,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,0,0,0,0,0,0,240.286,702.071,6.429,0,0,0,0,0,0,0,0,0,0,0,0
15,0,15,0,0,0,0,0,0,0,648.600,983.200,7.133,0,0,0,0,0,0,0,0,0,0,0,0
36,0,36,0,0,0,0,0,0,0,914.861,1099.333,6.972,0,0,0,0,0,0,0,0,0,0,0,0
32,0,32,0,0,0,0,0,0,0,660.531,270.250,8.000,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,0,0,0,0,0,0,1132.700,376.600,8.400,0,0,0,0,0,0,0,0,0,0,0,0
23,0,23,0,0,0,0,0,0,0,672.217,683.913,8.609,0,0,0,0,0,0,0,0,0,0,0,0
