Volume (micrometer^3),Surface (micrometer^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micrometer),SD dist. to surf. (micrometer),Median dist. to surf. (micrometer),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
271,0,271,0,0,0,0,0,0,0,709.030,419.542,6.336,0,0,0,0,0,0,0,0,0,0,0,0
45,0,45,0,0,0,0,0,0,0,632.222,421.889,2.044,0,0,0,0,0,0,0,0,0,0,0,0
36,0,36,0,0,0,0,0,0,0,1059.389,504.639,1.694,0,0,0,0,0,0,0,0,0,0,0,0
164,0,164,0,0,0,0,0,0,0,1124.171,577.311,3.518,0,0,0,0,0,0,0,0,0,0,0,0
166,0,166,0,0,0,0,0,0,0,994.361,577.958,3.886,0,0,0,0,0,0,0,0,0,0,0,0
732,0,732,0,0,0,0,0,0,0,819.929,586.727,4.292,0,0,0,0,0,0,0,0,0,0,0,0
122,0,122,0,0,0,0,0,0,0,720.516,595.418,2.721,0,0,0,0,0,0,0,0,0,0,0,0
80,0,80,0,0,0,0,0,0,0,626.688,605.713,1.888,0,0,0,0,0,0,0,0,0,0,0,0
76,0,76,0,0,0,0,0,0,0,363.566,685.684,1.829,0,0,0,0,0,0,0,0,0,0,0,0
91,0,91,0,0,0,0,0,0,0,357.143,728.055,2.011,0,0,0,0,0,0,0,0,0,0,0,0
66,0,66,0,0,0,0,0,0,0,305.152,748.909,2.273,0,0,0,0,0,0,0,0,0,0,0,0
18,0,18,0,0,0,0,0,0,0,279.056,757.389,1.722,0,0,0,0,0,0,0,0,0,0,0,0
87,0,87,0,0,0,0,0,0,0,480.552,794.575,3.333,0,0,0,0,0,0,0,0,0,0,0,0
622,0,622,0,0,0,0,0,0,0,856.521,796.760,5.828,0,0,0,0,0,0,0,0,0,0,0,0
57,0,57,0,0,0,0,0,0,0,1130.789,833.386,2.789,0,0,0,0,0,0,0,0,0,0,0,0
4423,0,4423,0,0,0,0,0,0,0,778.900,835.434,38.449,0,0,0,0,0,0,0,0,0,0,0,0
49,0,49,0,0,0,0,0,0,0,582.204,835.490,4.531,0,0,0,0,0,0,0,0,0,0,0,0
112,0,112,0,0,0,0,0,0,0,981.152,844.170,2.188,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,908.455,844.818,1.000,0,0,0,0,0,0,0,0,0,0,0,0
73,0,73,0,0,0,0,0,0,0,957.479,859.425,2.342,0,0,0,0,0,0,0,0,0,0,0,0
8439,0,8439,0,0,0,0,0,0,0,921.028,856.458,90.216,0,0,0,0,0,0,0,0,0,0,0,0
155,0,155,0,0,0,0,0,0,0,880.161,864.077,4.639,0,0,0,0,0,0,0,0,0,0,0,0
84,0,84,0,0,0,0,0,0,0,919.988,865.357,3.714,0,0,0,0,0,0,0,0,0,0,0,0
63,0,63,0,0,0,0,0,0,0,979.190,890.143,1.794,0,0,0,0,0,0,0,0,0,0,0,0
82,0,82,0,0,0,0,0,0,0,929.634,898.671,2.951,0,0,0,0,0,0,0,0,0,0,0,0
565,0,565,0,0,0,0,0,0,0,937.768,897.664,11.607,0,0,0,0,0,0,0,0,0,0,0,0
1407,0,1407,0,0,0,0,0,0,0,1009.165,895.747,41.537,0,0,0,0,0,0,0,0,0,0,0,0
736,0,736,0,0,0,0,0,0,0,782.178,926.262,4.859,0,0,0,0,0,0,0,0,0,0,0,0
258,0,258,0,0,0,0,0,0,0,1028.283,926.318,4.306,0,0,0,0,0,0,0,0,0,0,0,0
94,0,94,0,0,0,0,0,0,0,1175.798,943.138,2.745,0,0,0,0,0,0,0,0,0,0,0,0
61,0,61,0,0,0,0,0,0,0,765.951,947.377,2.131,0,0,0,0,0,0,0,0,0,0,0,0
193,0,193,0,0,0,0,0,0,0,897.731,1070.233,2.585,0,0,0,0,0,0,0,0,0,0,0,0
130,0,130,0,0,0,0,0,0,0,710.785,1081.069,4.223,0,0,0,0,0,0,0,0,0,0,0,0
148,0,148,0,0,0,0,0,0,0,894.926,1084.696,2.676,0,0,0,0,0,0,0,0,0,0,0,0
29,0,29,0,0,0,0,0,0,0,1198.931,663.897,3.276,0,0,0,0,0,0,0,0,0,0,0,0
323,0,323,0,0,0,0,0,0,0,807.344,737.251,5.563,0,0,0,0,0,0,0,0,0,0,0,0
84,0,84,0,0,0,0,0,0,0,410.024,747.250,4.071,0,0,0,0,0,0,0,0,0,0,0,0
29,0,29,0,0,0,0,0,0,0,428.931,840.966,3.862,0,0,0,0,0,0,0,0,0,0,0,0
25,0,25,0,0,0,0,0,0,0,930.400,853.320,3.240,0,0,0,0,0,0,0,0,0,0,0,0
59,0,59,0,0,0,0,0,0,0,578.983,772.068,4.492,0,0,0,0,0,0,0,0,0,0,0,0
96,0,96,0,0,0,0,0,0,0,978.177,774.073,5.688,0,0,0,0,0,0,0,0,0,0,0,0
373,0,373,0,0,0,0,0,0,0,802.432,779.196,6.922,0,0,0,0,0,0,0,0,0,0,0,0
42,0,42,0,0,0,0,0,0,0,564.643,821.167,4.952,0,0,0,0,0,0,0,0,0,0,0,0
118,0,118,0,0,0,0,0,0,0,708.492,920.356,6.263,0,0,0,0,0,0,0,0,0,0,0,0
90,0,90,0,0,0,0,0,0,0,564.611,1003.033,6.133,0,0,0,0,0,0,0,0,0,0,0,0
32,0,32,0,0,0,0,0,0,0,926.594,470.562,4.906,0,0,0,0,0,0,0,0,0,0,0,0
71,0,71,0,0,0,0,0,0,0,985.225,525.056,6.845,0,0,0,0,0,0,0,0,0,0,0,0
117,0,117,0,0,0,0,0,0,0,879.171,734.863,6.137,0,0,0,0,0,0,0,0,0,0,0,0
17,0,17,0,0,0,0,0,0,0,927.059,863.294,5.118,0,0,0,0,0,0,0,0,0,0,0,0
86,0,86,0,0,0,0,0,0,0,892.163,865.500,6.535,0,0,0,0,0,0,0,0,0,0,0,0
120,0,120,0,0,0,0,0,0,0,876.583,1046.192,7.225,0,0,0,0,0,0,0,0,0,0,0,0
15,0,15,0,0,0,0,0,0,0,773.333,497.000,6.067,0,0,0,0,0,0,0,0,0,0,0,0
17,0,17,0,0,0,0,0,0,0,424.765,510.706,5.941,0,0,0,0,0,0,0,0,0,0,0,0
274,0,274,0,0,0,0,0,0,0,664.796,736.675,9.274,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,853.909,834.091,6.000,0,0,0,0,0,0,0,0,0,0,0,0
20,0,20,0,0,0,0,0,0,0,598.850,836.950,6.250,0,0,0,0,0,0,0,0,0,0,0,0
118,0,118,0,0,0,0,0,0,0,646.008,955.797,7.915,0,0,0,0,0,0,0,0,0,0,0,0
189,0,189,0,0,0,0,0,0,0,830.085,517.704,9.624,0,0,0,0,0,0,0,0,0,0,0,0
205,0,205,0,0,0,0,0,0,0,529.795,545.902,9.859,0,0,0,0,0,0,0,0,0,0,0,0
64,0,64,0,0,0,0,0,0,0,351.641,733.734,8.484,0,0,0,0,0,0,0,0,0,0,0,0
378,0,378,0,0,0,0,0,0,0,508.397,755.291,11.193,0,0,0,0,0,0,0,0,0,0,0,0
2292,0,2292,0,0,0,0,0,0,0,591.409,758.832,17.690,0,0,0,0,0,0,0,0,0,0,0,0
20,0,20,0,0,0,0,0,0,0,323.450,914.950,7.800,0,0,0,0,0,0,0,0,0,0,0,0
16,0,16,0,0,0,0,0,0,0,609.000,1117.312,6.688,0,0,0,0,0,0,0,0,0,0,0,0
62,0,62,0,0,0,0,0,0,0,370.548,605.758,9.597,0,0,0,0,0,0,0,0,0,0,0,0
26,0,26,0,0,0,0,0,0,0,986.923,667.923,8.077,0,0,0,0,0,0,0,0,0,0,0,0
121,0,121,0,0,0,0,0,0,0,313.421,712.256,9.835,0,0,0,0,0,0,0,0,0,0,0,0
182,0,182,0,0,0,0,0,0,0,592.527,881.363,10.808,0,0,0,0,0,0,0,0,0,0,0,0
27,0,27,0,0,0,0,0,0,0,882.667,887.111,8.815,0,0,0,0,0,0,0,0,0,0,0,0
180,0,180,0,0,0,0,0,0,0,506.733,887.894,11.039,0,0,0,0,0,0,0,0,0,0,0,0
357,0,357,0,0,0,0,0,0,0,1059.182,954.768,12.417,0,0,0,0,0,0,0,0,0,0,0,0
232,0,232,0,0,0,0,0,0,0,650.332,702.228,11.638,0,0,0,0,0,0,0,0,0,0,0,0
156,0,156,0,0,0,0,0,0,0,290.468,737.173,11.417,0,0,0,0,0,0,0,0,0,0,0,0
204,0,204,0,0,0,0,0,0,0,615.461,790.201,11.843,0,0,0,0,0,0,0,0,0,0,0,0
244,0,244,0,0,0,0,0,0,0,551.512,830.098,11.434,0,0,0,0,0,0,0,0,0,0,0,0
382,0,382,0,0,0,0,0,0,0,662.678,910.474,13.838,0,0,0,0,0,0,0,0,0,0,0,0
66,0,66,0,0,0,0,0,0,0,856.349,390.879,11.879,0,0,0,0,0,0,0,0,0,0,0,0
362,0,362,0,0,0,0,0,0,0,1005.417,722.566,14.235,0,0,0,0,0,0,0,0,0,0,0,0
60,0,60,0,0,0,0,0,0,0,1135.650,999.450,10.883,0,0,0,0,0,0,0,0,0,0,0,0
495,0,495,0,0,0,0,0,0,0,702.895,1065.249,15.125,0,0,0,0,0,0,0,0,0,0,0,0
38,0,38,0,0,0,0,0,0,0,744.079,388.237,11.526,0,0,0,0,0,0,0,0,0,0,0,0
39,0,39,0,0,0,0,0,0,0,526.051,520.949,11.949,0,0,0,0,0,0,0,0,0,0,0,0
215,0,215,0,0,0,0,0,0,0,423.302,704.679,13.874,0,0,0,0,0,0,0,0,0,0,0,0
162,0,162,0,0,0,0,0,0,0,531.099,759.321,12.519,0,0,0,0,0,0,0,0,0,0,0,0
63,0,63,0,0,0,0,0,0,0,976.476,960.286,11.873,0,0,0,0,0,0,0,0,0,0,0,0
412,0,412,0,0,0,0,0,0,0,650.201,980.248,15.709,0,0,0,0,0,0,0,0,0,0,0,0
49,0,49,0,0,0,0,0,0,0,979.837,1010.694,12.551,0,0,0,0,0,0,0,0,0,0,0,0
235,0,235,0,0,0,0,0,0,0,672.906,401.077,19.621,0,0,0,0,0,0,0,0,0,0,0,0
61,0,61,0,0,0,0,0,0,0,424.393,492.721,13.689,0,0,0,0,0,0,0,0,0,0,0,0
236,0,236,0,0,0,0,0,0,0,833.729,660.742,15.042,0,0,0,0,0,0,0,0,0,0,0,0
208,0,208,0,0,0,0,0,0,0,668.928,769.067,13.524,0,0,0,0,0,0,0,0,0,0,0,0
672,0,672,0,0,0,0,0,0,0,835.506,835.263,26.646,0,0,0,0,0,0,0,0,0,0,0,0
499,0,499,0,0,0,0,0,0,0,880.521,863.455,19.138,0,0,0,0,0,0,0,0,0,0,0,0
191,0,191,0,0,0,0,0,0,0,1057.754,506.691,17.026,0,0,0,0,0,0,0,0,0,0,0,0
454,0,454,0,0,0,0,0,0,0,633.126,545.965,17.348,0,0,0,0,0,0,0,0,0,0,0,0
89,0,89,0,0,0,0,0,0,0,945.135,715.955,14.079,0,0,0,0,0,0,0,0,0,0,0,0
116,0,116,0,0,0,0,0,0,0,388.009,736.198,15.362,0,0,0,0,0,0,0,0,0,0,0,0
717,0,717,0,0,0,0,0,0,0,546.179,763.639,17.696,0,0,0,0,0,0,0,0,0,0,0,0
159,0,159,0,0,0,0,0,0,0,424.390,801.151,15.679,0,0,0,0,0,0,0,0,0,0,0,0
287,0,287,0,0,0,0,0,0,0,332.679,859.188,17.157,0,0,0,0,0,0,0,0,0,0,0,0
19,0,19,0,0,0,0,0,0,0,498.421,448.895,14.053,0,0,0,0,0,0,0,0,0,0,0,0
90,0,90,0,0,0,0,0,0,0,557.667,591.833,14.900,0,0,0,0,0,0,0,0,0,0,0,0
463,0,463,0,0,0,0,0,0,0,913.644,922.233,17.929,0,0,0,0,0,0,0,0,0,0,0,0
72,0,72,0,0,0,0,0,0,0,702.264,1049.819,14.889,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,852.455,523.818,15.091,0,0,0,0,0,0,0,0,0,0,0,0
99,0,99,0,0,0,0,0,0,0,718.707,569.636,16.141,0,0,0,0,0,0,0,0,0,0,0,0
20,0,20,0,0,0,0,0,0,0,582.500,834.400,16.100,0,0,0,0,0,0,0,0,0,0,0,0
22,0,22,0,0,0,0,0,0,0,921.682,853.955,15.500,0,0,0,0,0,0,0,0,0,0,0,0
37,0,37,0,0,0,0,0,0,0,922.838,871.270,15.514,0,0,0,0,0,0,0,0,0,0,0,0
