 	Area	%Area	Slice
1	1577630	0	1
2	1569825	0	2
3	1562077	0	3
4	1555008	0	4
5	1548632	0	5
6	1542931	0	6
7	1537779	0	7
8	1533141	0	8
9	1528769	0	9
10	1524463	0	10
11	1520394	0	11
12	1516446	0	12
13	1512742	0	13
14	1509231	0	14
15	1505956	0	15
16	1502711	0	16
17	1499610	0	17
18	1496410	0	18
19	1493297	0	19
20	1490223	0	20
21	1487339	0	21
22	1484449	0	22
23	1481632	0	23
24	1478966	0	24
25	1476289	0	25
26	1473722	0	26
27	1471264	0	27
28	1468985	0	28
29	1466738	0	29
30	1464467	0	30
31	1462170	0	31
32	1459649	0	32
33	1457067	0	33
34	1454258	0	34
35	1451240	0	35
36	1448092	0	36
37	1444952	0	37
38	1441806	0	38
39	1438436	0	39
40	1434832	0	40
41	1431118	0	41
42	1427270	0	42
43	1423333	0	43
44	1419476	0	44
45	1415687	0	45
46	1412061	0	46
47	1408629	0	47
48	1405376	0	48
49	1402136	0	49
50	1398917	0	50
51	1395711	0	51
52	1392559	0	52
53	1389360	0	53
54	1386191	0	54
55	1383271	0	55
56	1380304	0	56
57	1377444	0	57
58	1374680	0	58
59	1372034	0	59
60	1369580	0	60
61	1366942	0	61
62	1364237	0	62
63	1361382	0	63
64	1358431	0	64
65	1355403	0	65
66	1352293	0	66
67	1349222	0	67
68	1346152	0	68
69	1343096	0	69
70	1339934	0	70
71	1336531	0	71
72	1332892	0	72
73	1329122	0	73
74	1325241	0	74
75	1321322	0	75
76	1317422	0	76
77	1313500	0	77
78	1309665	0	78
79	1305953	0	79
80	1302441	0	80
81	1298897	0	81
82	1295256	0	82
83	1291438	0	83
84	1287480	0	84
85	1283518	0	85
86	1279395	0	86
87	1275332	0	87
88	1271396	0	88
89	1267498	0	89
90	1263626	0	90
91	1259613	0	91
92	1255551	0	92
93	1251433	0	93
94	1247319	0	94
95	1243347	0	95
96	1239446	0	96
97	1235753	0	97
98	1232138	0	98
99	1228588	0	99
100	1224986	0	100
101	1221310	0	101
102	1217612	0	102
103	1213869	0	103
104	1210125	0	104
105	1206289	0	105
106	1202542	0	106
107	1198803	0	107
108	1194969	0	108
109	1191224	0	109
110	1187506	0	110
111	1183861	0	111
112	1180273	0	112
113	1176776	0	113
114	1173416	0	114
115	1170171	0	115
116	1166970	0	116
117	1163973	0	117
118	1161095	0	118
119	1158513	0	119
120	1156145	0	120
121	1154009	0	121
122	1152038	0	122
123	1150157	0	123
124	1148452	0	124
125	1146858	0	125
126	1145329	0	126
127	1143771	0	127
128	1142320	0	128
129	1140733	0	129
130	1139068	0	130
131	1137392	0	131
132	1135538	0	132
133	1133575	0	133
134	1131548	0	134
135	1129496	0	135
136	1127673	0	136
137	1126060	0	137
138	1124677	0	138
139	1123374	0	139
140	1122057	0	140
141	1120728	0	141
142	1119347	0	142
143	1117797	0	143
144	1116367	0	144
145	1114862	0	145
146	1113261	0	146
147	1111621	0	147
148	1109785	0	148
149	1107820	0	149
150	1105940	0	150
151	1103943	0	151
152	1101934	0	152
153	1099837	0	153
154	1097714	0	154
155	1095728	0	155
156	1093785	0	156
157	1091972	0	157
158	1090132	0	158
159	1088478	0	159
160	1086982	0	160
161	1085424	0	161
162	1083957	0	162
163	1082308	0	163
164	1080518	0	164
165	1078747	0	165
166	1076997	0	166
167	1075274	0	167
168	1073553	0	168
169	1071766	0	169
170	1070160	0	170
171	1068506	0	171
172	1066948	0	172
173	1065381	0	173
174	1063704	0	174
175	1061992	0	175
176	1060283	0	176
177	1058751	0	177
178	1057135	0	178
179	1055757	0	179
180	1054411	0	180
181	1053324	0	181
182	1052290	0	182
183	1051423	0	183
184	1050636	0	184
185	1049901	0	185
186	1049260	0	186
187	1048667	0	187
188	1047993	0	188
189	1047473	0	189
190	1046983	0	190
191	1046552	0	191
192	1046196	0	192
193	1045881	0	193
194	1045609	0	194
195	1045324	0	195
196	1045105	0	196
197	1044919	0	197
198	1044732	0	198
199	1044592	0	199
200	1044390	0	200
201	1044283	0	201
202	1044136	0	202
203	1044003	0	203
204	1043898	0	204
205	1043816	0	205
206	1043764	0	206
207	1043714	0	207
208	1043612	0	208
209	1043426	0	209
210	1043235	0	210
211	1042999	0	211
212	1042877	0	212
213	1042636	0	213
214	1042338	0	214
215	1041969	0	215
216	1041555	0	216
217	1041166	0	217
218	1040788	0	218
219	1040407	0	219
220	1040051	0	220
221	1039638	0	221
222	1039277	0	222
223	1038969	0	223
224	1038627	0	224
225	1038295	0	225
226	1038019	0	226
227	1037804	0	227
228	1037628	0	228
229	1037420	0	229
230	1037243	0	230
231	1037116	0	231
232	1036971	0	232
233	1036816	0	233
234	1036662	0	234
235	1036425	0	235
236	1036108	0	236
237	1035778	0	237
238	1035431	0	238
239	1035045	0	239
240	1034596	0	240
241	1034122	0	241
242	1033571	0	242
243	1033005	0	243
244	1032386	0	244
245	1031739	0	245
246	1031104	0	246
247	1030518	0	247
248	1030006	0	248
249	1029518	0	249
250	1028930	0	250
251	1028316	0	251
252	1027702	0	252
253	1027103	0	253
254	1026482	0	254
255	1025849	0	255
256	1025186	0	256
257	1024496	0	257
258	1023775	0	258
259	1023005	0	259
260	1022184	0	260
261	1021438	0	261
262	1020666	0	262
263	1019866	0	263
264	1019092	0	264
265	1018308	0	265
266	1017523	0	266
267	1016663	0	267
268	1015921	0	268
269	1015116	0	269
270	1014312	0	270
271	1013426	0	271
272	1012582	0	272
273	1011801	0	273
274	1011066	0	274
275	1010339	0	275
276	1009594	0	276
277	1008651	0	277
278	1007751	0	278
279	1006989	0	279
280	1006378	0	280
281	1005918	0	281
282	1005473	0	282
283	1004959	0	283
284	1004482	0	284
285	1004014	0	285
286	1003594	0	286
287	1003196	0	287
288	1002834	0	288
289	1002416	0	289
290	1001948	0	290
291	1001538	0	291
292	1001119	0	292
293	1000667	0	293
294	1000261	0	294
295	999941	0	295
296	999640	0	296
297	999277	0	297
298	998892	0	298
299	998493	0	299
300	998065	0	300
301	997615	0	301
302	997188	0	302
303	996776	0	303
304	996310	0	304
305	995755	0	305
306	995170	0	306
307	994556	0	307
308	993990	0	308
309	993419	0	309
310	992806	0	310
311	992136	0	311
312	991504	0	312
313	990842	0	313
314	990145	0	314
315	989433	0	315
316	988762	0	316
317	988058	0	317
318	987364	0	318
319	986607	0	319
320	985902	0	320
321	985165	0	321
322	984534	0	322
323	983948	0	323
324	983327	0	324
325	982764	0	325
326	982205	0	326
327	981705	0	327
328	981282	0	328
329	980906	0	329
330	980664	0	330
331	980483	0	331
332	980344	0	332
333	980279	0	333
334	980253	0	334
335	980297	0	335
336	980408	0	336
337	980665	0	337
338	981012	0	338
339	981483	0	339
340	982014	0	340
341	982625	0	341
342	983378	0	342
343	984055	0	343
344	984848	0	344
345	985689	0	345
346	986619	0	346
347	987484	0	347
348	988368	0	348
349	989308	0	349
350	990186	0	350
351	991071	0	351
352	991935	0	352
353	992837	0	353
354	993799	0	354
355	994785	0	355
356	995851	0	356
357	996906	0	357
358	997880	0	358
359	998809	0	359
360	999712	0	360
361	1000739	0	361
362	1001634	0	362
363	1002501	0	363
364	1003429	0	364
365	1004363	0	365
366	1005273	0	366
367	1006163	0	367
368	1007024	0	368
369	1007847	0	369
370	1008705	0	370
371	1009541	0	371
372	1010418	0	372
373	1011272	0	373
374	1012128	0	374
375	1012955	0	375
376	1013764	0	376
377	1014523	0	377
378	1015244	0	378
379	1015923	0	379
380	1016603	0	380
381	1017297	0	381
382	1018037	0	382
383	1018877	0	383
384	1019690	0	384
385	1020476	0	385
386	1021218	0	386
387	1022068	0	387
388	1022978	0	388
389	1023807	0	389
390	1024664	0	390
391	1025558	0	391
392	1026417	0	392
393	1027206	0	393
394	1027947	0	394
395	1028642	0	395
396	1029265	0	396
397	1029902	0	397
398	1030588	0	398
399	1031241	0	399
400	1031982	0	400
401	1032682	0	401
402	1033314	0	402
403	1033749	0	403
404	1034101	0	404
405	1034334	0	405
406	1034461	0	406
407	1034570	0	407
408	1034632	0	408
409	1034723	0	409
410	1034779	0	410
411	1034860	0	411
412	1034970	0	412
413	1035061	0	413
414	1035213	0	414
415	1035396	0	415
416	1035663	0	416
417	1036071	0	417
418	1036548	0	418
419	1037170	0	419
420	1037791	0	420
421	1038509	0	421
422	1039252	0	422
423	1040005	0	423
424	1040750	0	424
425	1041542	0	425
426	1042396	0	426
427	1043312	0	427
428	1044299	0	428
429	1045352	0	429
430	1046445	0	430
431	1047500	0	431
432	1048629	0	432
433	1049720	0	433
434	1050797	0	434
435	1051890	0	435
436	1052908	0	436
437	1053951	0	437
438	1055041	0	438
439	1056121	0	439
440	1057191	0	440
441	1058098	0	441
442	1058985	0	442
443	1059725	0	443
444	1060317	0	444
445	1060697	0	445
446	1060993	0	446
447	1061104	0	447
448	1061150	0	448
449	1061261	0	449
450	1061418	0	450
451	1061595	0	451
452	1061786	0	452
453	1061985	0	453
454	1062330	0	454
455	1062751	0	455
456	1063230	0	456
457	1063899	0	457
458	1064534	0	458
459	1065288	0	459
460	1066200	0	460
461	1067139	0	461
462	1068157	0	462
463	1069398	0	463
464	1070740	0	464
465	1072054	0	465
466	1073446	0	466
467	1074919	0	467
468	1076370	0	468
469	1077963	0	469
470	1079615	0	470
471	1081281	0	471
472	1083581	0	472
473	1085247	0	473
474	1086935	0	474
475	1088633	0	475
476	1090225	0	476
477	1091728	0	477
478	1093194	0	478
479	1094643	0	479
480	1096208	0	480
481	1097816	0	481
482	1099486	0	482
483	1101111	0	483
484	1102824	0	484
485	1106334	0	485
486	1108056	0	486
487	1109749	0	487
488	1111140	0	488
489	1111996	0	489
490	1112779	0	490
491	1112038	0	491
492	1113380	0	492
493	1114884	0	493
494	1116407	0	494
495	1117993	0	495
496	1119556	0	496
497	1121192	0	497
498	1122911	0	498
499	1124637	0	499
500	1126445	0	500
501	1128279	0	501
502	1130162	0	502
503	1131911	0	503
504	1133650	0	504
505	1135424	0	505
506	1137111	0	506
507	1138529	0	507
508	1140203	0	508
509	1141920	0	509
510	1143673	0	510
511	1145526	0	511
512	1147345	0	512
513	1149231	0	513
514	1151136	0	514
515	1152975	0	515
516	1154940	0	516
517	1156918	0	517
518	1158907	0	518
519	1160822	0	519
520	1162774	0	520
521	1164633	0	521
522	1166489	0	522
523	1168387	0	523
524	1170354	0	524
525	1172340	0	525
526	1174361	0	526
527	1176387	0	527
528	1178435	0	528
529	1180603	0	529
530	1182795	0	530
531	1184944	0	531
532	1187069	0	532
533	1189102	0	533
534	1191061	0	534
535	1193022	0	535
536	1195052	0	536
537	1197136	0	537
538	1199255	0	538
539	1201412	0	539
540	1203545	0	540
541	1205563	0	541
542	1207671	0	542
543	1209722	0	543
544	1211996	0	544
545	1214157	0	545
546	1216322	0	546
547	1218543	0	547
548	1220604	0	548
549	1222763	0	549
550	1225041	0	550
551	1227322	0	551
552	1229713	0	552
553	1232151	0	553
554	1234728	0	554
555	1237315	0	555
556	1239995	0	556
557	1242674	0	557
558	1245308	0	558
559	1247996	0	559
560	1250690	0	560
561	1253362	0	561
562	1256106	0	562
563	1258828	0	563
564	1261707	0	564
565	1264610	0	565
566	1267693	0	566
567	1270638	0	567
568	1273552	0	568
569	1276577	0	569
570	1279569	0	570
571	1282528	0	571
572	1285369	0	572
573	1288205	0	573
574	1291055	0	574
575	1293853	0	575
576	1296681	0	576
577	1299506	0	577
578	1302530	0	578
579	1305513	0	579
580	1308451	0	580
581	1311370	0	581
582	1314308	0	582
583	1317247	0	583
584	1320198	0	584
585	1323125	0	585
586	1326054	0	586
587	1328942	0	587
588	1331832	0	588
589	1334643	0	589
590	1337541	0	590
591	1340376	0	591
592	1343283	0	592
593	1346257	0	593
594	1349222	0	594
595	1352111	0	595
596	1354927	0	596
597	1357673	0	597
598	1360570	0	598
599	1363466	0	599
600	1366315	0	600
601	1369236	0	601
602	1372168	0	602
603	1374959	0	603
604	1377791	0	604
605	1380551	0	605
606	1383349	0	606
607	1386112	0	607
608	1389002	0	608
609	1392069	0	609
610	1395315	0	610
611	1398579	0	611
612	1401826	0	612
613	1405120	0	613
614	1408496	0	614
615	1411801	0	615
616	1415182	0	616
617	1418858	0	617
618	1423039	0	618
619	1427864	0	619
620	1433712	0	620
621	1441564	0	621
622	1450167	0	622
623	1459613	0	623
624	1469058	0	624
625	1477921	0	625
626	1488047	0	626
627	1498884	0	627
628	1511404	0	628
629	1526001	0	629
630	1541510	0	630
631	1553114	0	631
632	1563852	0	632
633	1574320	0	633
634	1584659	0	634
635	1595133	0	635
636	1605932	0	636
637	1616996	0	637
638	1627336	0	638
639	1637666	0	639
640	1648335	0	640
641	1657824	0	641
