 ,Area,%Area,Slice
1,1692335,0,1
2,1686044,0,2
3,1678828,0,3
4,1671389,0,4
5,1663485,0,5
6,1655425,0,6
7,1647103,0,7
8,1638783,0,8
9,1630585,0,9
10,1622551,0,10
11,1615279,0,11
12,1608655,0,12
13,1601928,0,13
14,1594483,0,14
15,1586377,0,15
16,1578097,0,16
17,1570047,0,17
18,1562329,0,18
19,1554825,0,19
20,1547739,0,20
21,1540578,0,21
22,1533088,0,22
23,1525807,0,23
24,1518784,0,24
25,1511609,0,25
26,1504902,0,26
27,1498570,0,27
28,1492654,0,28
29,1487096,0,29
30,1481998,0,30
31,1477242,0,31
32,1472847,0,32
33,1468506,0,33
34,1464352,0,34
35,1460279,0,35
36,1456307,0,36
37,1452258,0,37
38,1448424,0,38
39,1444762,0,39
40,1441343,0,40
41,1437947,0,41
42,1434546,0,42
43,1431221,0,43
44,1427933,0,44
45,1424759,0,45
46,1421673,0,46
47,1418650,0,47
48,1415770,0,48
49,1412924,0,49
50,1410042,0,50
51,1407125,0,51
52,1404200,0,52
53,1401108,0,53
54,1398046,0,54
55,1394910,0,55
56,1391875,0,56
57,1388706,0,57
58,1385352,0,58
59,1381692,0,59
60,1377943,0,60
61,1374058,0,61
62,1370123,0,62
63,1366204,0,63
64,1362223,0,64
65,1358298,0,65
66,1354423,0,66
67,1350526,0,67
68,1346654,0,68
69,1342754,0,69
70,1338868,0,70
71,1335069,0,71
72,1331303,0,72
73,1327549,0,73
74,1323997,0,74
75,1320440,0,75
76,1317019,0,76
77,1313585,0,77
78,1310189,0,78
79,1306825,0,79
80,1303519,0,80
81,1300213,0,81
82,1296874,0,82
83,1293533,0,83
84,1290222,0,84
85,1286973,0,85
86,1283743,0,86
87,1280488,0,87
88,1277159,0,88
89,1273692,0,89
90,1270059,0,90
91,1266233,0,91
92,1262326,0,92
93,1258367,0,93
94,1254402,0,94
95,1250378,0,95
96,1246325,0,96
97,1242301,0,97
98,1238214,0,98
99,1234078,0,99
100,1230017,0,100
101,1225945,0,101
102,1221667,0,102
103,1217281,0,103
104,1212819,0,104
105,1208482,0,105
106,1204176,0,106
107,1199853,0,107
108,1195533,0,108
109,1191120,0,109
110,1186703,0,110
111,1182117,0,111
112,1177468,0,112
113,1172875,0,113
114,1168251,0,114
115,1163812,0,115
116,1159335,0,116
117,1154935,0,117
118,1150480,0,118
119,1145948,0,119
120,1141509,0,120
121,1136921,0,121
122,1132376,0,122
123,1127907,0,123
124,1123466,0,124
125,1119071,0,125
126,1114577,0,126
127,1110201,0,127
128,1105749,0,128
129,1101253,0,129
130,1096672,0,130
131,1092116,0,131
132,1087618,0,132
133,1083104,0,133
134,1078543,0,134
135,1074028,0,135
136,1069643,0,136
137,1065282,0,137
138,1060915,0,138
139,1056453,0,139
140,1052036,0,140
141,1047745,0,141
142,1043569,0,142
143,1039713,0,143
144,1036089,0,144
145,1032532,0,145
146,1029067,0,146
147,1025622,0,147
