 ,Area,%Area,Slice
1,1,100,1
2,1,100,1
3,1,100,1
4,1,100,1
5,2,100,1
6,2,100,1
7,2,100,1
8,35,100,1
9,32,100,1
10,37,100,1
11,35,100,1
12,28,100,1
13,2,100,1
14,4,100,1
15,8,100,1
16,2,100,1
17,2,100,1
18,3,100,1
19,1,100,1
20,5,100,1
21,52,100,1
22,2,100,1
23,26,100,1
24,2,100,1
25,3,100,1
26,63,100,1
27,5,100,1
28,19,100,1
29,8,100,1
30,1,100,1
31,4,100,1
32,33,100,1
33,1,100,1
34,1,100,1
35,2,100,2
36,1,100,2
37,1,100,2
38,39,100,2
39,45,100,2
40,52,100,2
41,55,100,2
42,6,100,2
43,1,100,2
44,22,100,2
45,6,100,2
46,23,100,2
47,24,100,2
48,2,100,2
49,6,100,2
50,39,100,2
51,10,100,2
52,1,100,2
53,3,100,2
54,7,100,2
55,40,100,2
56,7,100,2
57,11,100,2
58,1,100,2
59,1,100,2
60,6,100,2
61,4,100,2
62,37,100,2
63,2,100,2
64,1,100,3
65,34,100,3
66,50,100,3
67,58,100,3
68,3,100,3
69,72,100,3
70,13,100,3
71,8,100,3
72,10,100,3
73,30,100,3
74,40,100,3
75,23,100,3
76,1,100,3
77,5,100,3
78,3,100,3
79,8,100,3
80,17,100,3
81,1,100,3
82,2,100,3
83,12,100,3
84,30,100,3
85,2,100,4
86,1,100,4
87,17,100,4
88,4,100,4
89,45,100,4
90,56,100,4
91,78,100,4
92,8,100,4
93,12,100,4
94,2,100,4
95,3,100,4
96,33,100,4
97,5,100,4
98,58,100,4
99,10,100,4
100,3,100,4
101,4,100,4
102,1,100,4
103,24,100,4
104,18,100,4
105,24,100,4
106,3,100,4
107,3,100,4
108,2,100,4
109,2,100,5
110,1,100,5
111,1,100,5
112,9,100,5
113,5,100,5
114,35,100,5
115,36,100,5
116,79,100,5
117,26,100,5
118,2,100,5
119,1,100,5
120,4,100,5
121,5,100,5
122,29,100,5
123,17,100,5
124,78,100,5
125,2,100,5
126,1,100,5
127,1,100,5
128,10,100,5
129,30,100,5
130,8,100,5
131,2,100,5
132,4,100,5
133,7,100,5
134,26,100,5
135,5,100,5
136,10,100,5
137,8,100,5
138,14,100,5
139,1,100,5
140,1,100,5
141,2,100,5
142,2,100,6
143,1,100,6
144,1,100,6
145,1,100,6
146,11,100,6
147,6,100,6
148,11,100,6
149,18,100,6
150,18,100,6
151,1,100,6
152,3,100,6
153,4,100,6
154,76,100,6
155,37,100,6
156,9,100,6
157,4,100,6
158,2,100,6
159,1,100,6
160,8,100,6
161,21,100,6
162,31,100,6
163,89,100,6
164,2,100,6
165,6,100,6
166,1,100,6
167,14,100,6
168,33,100,6
169,15,100,6
170,3,100,6
171,2,100,6
172,3,100,6
173,16,100,6
174,24,100,6
175,15,100,6
176,5,100,6
177,5,100,6
178,29,100,6
179,5,100,6
180,1,100,6
181,1,100,6
182,3,100,7
183,2,100,7
184,1,100,7
185,2,100,7
186,2,100,7
187,7,100,7
188,24,100,7
189,5,100,7
190,10,100,7
191,25,100,7
192,65,100,7
193,40,100,7
194,17,100,7
195,14,100,7
196,2,100,7
197,14,100,7
198,1,100,7
199,6,100,7
200,37,100,7
201,95,100,7
202,1,100,7
203,7,100,7
204,1,100,7
205,11,100,7
206,34,100,7
207,17,100,7
208,1,100,7
209,3,100,7
210,21,100,7
211,16,100,7
212,18,100,7
213,15,100,7
214,5,100,7
215,35,100,7
216,1,100,7
217,9,100,7
218,1,100,7
219,2,100,8
220,14,100,8
221,1,100,8
222,2,100,8
223,3,100,8
224,29,100,8
225,4,100,8
226,3,100,8
227,19,100,8
228,31,100,8
229,47,100,8
230,31,100,8
231,18,100,8
232,3,100,8
233,13,100,8
234,2,100,8
235,1,100,8
236,12,100,8
237,22,100,8
238,21,100,8
239,30,100,8
240,96,100,8
241,10,100,8
242,26,100,8
243,14,100,8
244,13,100,8
245,9,100,8
246,16,100,8
247,4,100,8
248,17,100,8
249,28,100,8
250,9,100,8
251,3,100,8
252,6,100,8
253,37,100,8
254,3,100,8
255,1,100,8
256,1,100,8
257,8,100,8
258,1,100,8
259,2,100,9
260,1,100,9
261,14,100,9
262,1,100,9
263,3,100,9
264,10,100,9
265,32,100,9
266,4,100,9
267,20,100,9
268,36,100,9
269,3,100,9
270,32,100,9
271,21,100,9
272,15,100,9
273,13,100,9
274,2,100,9
275,2,100,9
276,16,100,9
277,27,100,9
278,26,100,9
279,19,100,9
280,94,100,9
281,9,100,9
282,12,100,9
283,2,100,9
284,30,100,9
285,7,100,9
286,12,100,9
287,25,100,9
288,14,100,9
289,27,100,9
290,32,100,9
291,3,100,9
292,31,100,9
293,4,100,9
294,1,100,9
295,1,100,9
296,1,100,10
297,1,100,10
298,1,100,10
299,5,100,10
300,1,100,10
301,9,100,10
302,27,100,10
303,3,100,10
304,4,100,10
305,9,100,10
306,26,100,10
307,12,100,10
308,8,100,10
309,17,100,10
310,2,100,10
311,21,100,10
312,10,100,10
313,2,100,10
314,17,100,10
315,22,100,10
316,19,100,10
317,2,100,10
318,81,100,10
319,1,100,10
320,21,100,10
321,5,100,10
322,8,100,10
323,9,100,10
324,5,100,10
325,45,100,10
326,30,100,10
327,15,100,10
328,30,100,10
329,32,100,10
330,3,100,10
331,21,100,10
332,1,100,10
333,1,100,10
334,1,100,11
335,2,100,11
336,10,100,11
337,7,100,11
