Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,832.0,75.0,0.0,832.0,75.0,0.0,832,75,0,832,75,0,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
1,obj2-val2,2,0,611.5,82.0,0.0,611.5,82.0,0.0,611,82,0,612,82,0,2.0,1.0,2.0,2,10.0,10.0,6.666666666666667,0.4523893421169302,0.7676635200443077,1.526814029644639,1.1514949756065076,0.4523893421169302,0.7676635200443077,0.8078870169771784,1.118033988749895,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.0,
2,obj3-val3,3,0,523.6666666666666,105.0,0.3333333333333333,523.6666666666666,105.0,0.3333333333333333,523,105,0,524,105,1,4.0,0.75,3.0,3,14.0,14.0,9.333333333333334,0.370946071342235,0.7185170346115792,1.2519429907800428,1.0777751956412636,0.370946071342235,0.7185170346115792,0.7247037103732568,1.2909944487358056,1.7320508075688772,NaN,NaN,NaN,0.47140452079105843,0.7453559924999469,0.6540388352636338,0.1581659559360062,
3,obj4-val4,4,0,495.5,116.0,0.0,495.5,116.0,0.0,495,116,0,496,116,0,2.0,1.0,2.0,2,10.0,10.0,6.666666666666667,0.4523893421169302,0.7676635200443077,1.526814029644639,1.1514949756065076,0.4523893421169302,0.7676635200443077,0.8078870169771784,1.118033988749895,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.0,
4,obj5-val5,5,0,1200.6083333333333,250.45833333333334,1.2833333333333334,1200.6083333333333,250.45833333333334,1.2833333333333334,1197,245,0,1206,255,3,440.0,0.2727272727272727,120.0,120,216.0,216.0,136.41066666666666,0.16160456036984533,0.5446925908952914,0.6416081491022004,0.8624950748338853,0.16160456036984533,0.5446925908952914,0.8780072478291443,5.164087625827568,1.4063926383524943,1.721870518391911,169.37750751228515,0.7084765962286714,1.0458250331676073,5.752716749501909,3.069193259052254,1.0672709184932436,
5,obj6-val6,6,0,226.26728110599078,369.19354838709677,2.262672811059908,226.26728110599078,369.19354838709677,2.262672811059908,221,365,0,230,372,5,480.0,0.45208333333333334,217.0,217,276.0,276.0,176.0878,0.2533054855772612,0.6327251009473999,0.9754028913262797,0.9917328056170699,0.2533054855772612,0.6327251009473999,0.945331248203052,4.851803411597657,1.3254927468108557,1.163870410469393,233.95850438909883,0.9275149051179821,2.286610683452073,5.709803876410995,3.413832456490432,0.6458893357305405,
6,obj7-val7,7,0,1320.952380952381,427.9484126984127,2.2023809523809526,1320.952380952381,427.9484126984127,2.2023809523809526,1315,422,0,1326,432,5,792.0,0.3181818181818182,252.0,252,324.0,324.0,210.6414333333333,0.21116329221659788,0.5954880261309822,0.7684613883489482,0.915954745460458,0.21116329221659788,0.5954880261309822,0.9335060727974344,5.168075148791655,1.108312373480616,1.5262955512837895,308.3983503455486,0.8171249934302295,2.179962403257702,6.736410038484981,3.718566692623956,0.9440949242348643,
7,obj8-val8,8,0,1266.0590405904059,597.809963099631,3.952029520295203,1266.0590405904059,597.809963099631,3.952029520295203,1261,593,0,1270,602,9,1000.0,0.542,542.0,542,494.0,494.0,317.0274,0.275594216722467,0.6507640497940904,1.042702823585179,1.0140363340482408,0.275594216722467,0.6507640497940904,0.9666533356350331,5.414975930210072,1.0788009896949975,1.0243769662730613,557.8734621389082,0.9715464828205868,3.7180894024509894,5.868910887369228,4.66712185876892,0.42274773836916185,
8,obj9-val9,9,0,150.18965517241378,713.8620689655172,0.6551724137931034,150.18965517241378,713.8620689655172,0.6551724137931034,148,711,0,153,716,2,108.0,0.5370370370370371,58.0,58,118.0,118.0,76.61783333333334,0.2315593589901708,0.614074398266773,0.845899486284611,0.9457425315786407,0.2315593589901708,0.614074398266773,0.8911347751434118,3.333878038129442,1.149611903009985,1.8525298457529338,63.39718805291022,0.9148670750443093,0.6958771058831253,3.1679597668567534,2.102359005261663,0.6063721268284427,
9,obj10-val10,10,0,328.2,715.3,1.65,328.2,715.3,1.65,327,714,0,330,717,3,64.0,0.3125,20.0,20,58.0,58.0,36.07456666666667,0.2318613627644277,0.6143412442224164,0.9636270793979054,0.9877256498782403,0.2318613627644277,0.6143412442224164,0.8180323675703036,2.679034013142662,1.6752978670000218,1.2077897330370302,23.760078209938985,0.8417480709989363,0.502493781056013,2.480423350962518,1.4298033336557718,0.5162235613893639,
