 ,06
1,1682913
2,1675669
3,1668226
4,1660310
5,1652266
6,1643926
7,1635628
8,1627477
9,1619466
10,1612241
11,1605584
12,1598852
13,1591405
14,1583309
15,1575023
16,1566987
17,1559300
18,1551842
19,1544749
20,1537613
21,1530119
22,1522845
23,1515817
24,1508653
25,1501968
26,1495653
27,1489754
28,1484206
29,1479116
30,1474403
31,1469977
32,1465687
33,1461520
34,1457443
35,1453478
36,1449426
37,1445599
38,1441951
39,1438540
40,1435146
41,1431762
42,1428418
43,1425119
44,1421951
45,1418897
46,1415872
47,1412985
48,1410144
49,1407263
50,1404364
51,1401424
52,1398344
53,1395300
54,1392155
55,1389114
56,1385939
57,1382574
58,1378949
59,1375204
60,1371329
61,1367403
62,1363450
63,1359481
64,1355560
65,1351693
66,1347824
67,1343921
68,1340051
69,1336173
70,1332372
71,1328627
72,1324853
73,1321302
74,1317756
75,1314322
76,1310911
77,1307524
78,1304164
79,1300854
80,1297566
81,1294213
82,1290855
83,1287578
84,1284327
85,1281096
86,1277852
87,1274544
88,1271055
89,1267418
90,1263610
91,1259686
92,1255736
93,1251779
94,1247762
95,1243709
96,1239690
97,1235616
98,1231471
99,1227423
100,1223328
101,1219081
102,1214693
103,1210212
104,1205915
105,1201595
106,1197279
107,1192987
108,1188555
109,1184142
110,1179545
111,1174908
112,1170324
113,1165707
114,1161299
115,1156813
116,1152406
117,1147979
118,1143451
119,1139027
120,1134434
121,1129895
122,1125429
123,1121010
124,1116607
125,1112120
126,1107750
127,1103289
128,1098804
129,1094237
130,1089671
131,1085183
132,1080652
133,1076110
134,1071609
135,1067231
136,1062874
137,1058522
138,1054058
139,1049635
140,1045357
141,1041195
142,1037328
143,1033721
144,1030171
145,1026710
146,1023261
147,1019894
148,1016524
149,1013263
150,1010239
151,1007304
152,1004493
153,1001646
154,998769
155,996056
156,993275
157,990486
158,987737
159,984892
160,982157
161,979354
162,976523
163,973679
164,970896
165,968099
166,965304
167,962601
168,959923
169,957387
170,954863
171,952424
172,949987
173,947590
174,945173
175,942736
176,940191
177,937557
178,934966
179,932365
180,929734
181,926963
182,924133
183,921255
184,918449
185,915604
186,912698
187,909767
188,906739
189,903768
190,900904
191,898120
192,895459
193,892775
194,890128
195,887428
196,884792
197,882179
198,879498
199,876888
200,874271
201,871680
202,869009
203,866317
204,863581
205,860950
206,858327
207,855746
208,853101
209,850433
210,847741
211,845122
212,842559
213,839981
214,837451
215,834933
216,832320
217,829802
218,827389
219,824913
220,822535
221,820105
222,817722
223,815340
224,813024
225,810806
226,808621
227,806464
228,804352
229,802310
230,800338
231,798415
232,796567
233,794817
234,793106
235,791415
236,789778
237,788155
238,786486
239,784960
240,783486
241,781999
242,780443
243,779012
244,777530
245,776173
246,774741
247,773399
248,772071
249,770824
250,769556
251,768294
252,767028
253,765731
254,764465
255,763269
256,762096
257,760886
258,759675
259,758539
260,757320
261,756119
262,754995
263,753825
264,752643
265,751494
266,750323
267,749181
268,748028
269,746791
270,745608
271,744352
272,743131
273,741907
274,740759
275,739691
276,738526
277,737385
278,736272
279,735055
280,733841
281,732650
282,731414
283,730242
284,729017
285,727847
286,726731
287,725583
288,724385
289,723213
290,722088
291,720938
292,719794
293,718708
294,717643
295,716532
296,715486
297,714451
298,713355
299,712281
300,711210
301,710149
302,709108
303,708144
304,707206
305,706196
306,705212
307,704232
308,703217
309,702281
310,701217
311,700153
312,699129
313,698028
314,696979
315,695901
316,694796
317,693678
318,692587
319,691469
320,690392
321,689327
322,688190
323,687091
324,685974
325,684849
326,683753
327,682602
328,681506
329,680401
330,679360
331,678308
332,677256
333,676147
334,675096
335,674060
336,673060
337,671958
338,670914
339,669830
340,668792
341,667732
342,666701
343,665636
344,664610
345,663557
346,662560
347,661541
348,660545
349,659557
350,658509
351,657484
352,656535
353,655620
354,654717
355,653759
356,652817
357,651873
358,650901
359,649960
360,648951
361,647954
362,647052
363,646146
364,645284
365,644458
366,643720
367,642944
368,642185
369,641415
370,640673
371,639911
372,639228
373,638583
374,637980
375,637405
376,636794
377,636213
378,635598
379,635029
380,634411
381,633842
382,633245
383,632657
384,632079
385,631450
386,630911
387,630346
388,629794
389,629285
390,628754
391,628234
392,627730
393,627264
394,626766
395,626297
396,625818
397,625359
398,624937
399,624539
400,624113
401,623633
402,623134
403,622656
404,622154
405,621638
406,621117
407,620608
408,620140
409,619668
410,619154
411,618699
412,618229
413,617726
414,617309
415,616835
416,616354
417,615900
418,615437
419,614981
420,614535
421,614109
422,613629
423,613188
424,612770
425,612304
426,611939
427,611563
428,611219
429,610890
430,610565
431,610227
432,609893
433,609544
434,609222
435,608877
436,608547
437,608242
438,607931
439,607614
440,607367
441,607070
442,606783
443,606495
444,606199
445,605966
446,605710
447,605515
448,605346
449,605201
450,605046
451,604971
452,604758
453,604639
454,604558
455,604616
456,604637
457,604687
458,604810
459,604927
460,605175
461,605388
462,605664
463,605972
464,606322
465,606728
466,607050
467,607429
468,607813
469,608187
470,608625
471,609012
472,609418
473,609865
474,610328
475,610890
476,611536
477,612177
478,612891
479,613577
480,614368
481,615153
482,615961
483,616736
484,617488
485,618242
486,619030
487,619842
488,620648
489,621460
490,622211
491,622975
492,623779
493,624636
494,625513
495,626375
496,627240
497,628046
498,628886
499,629759
500,630628
501,631513
502,632410
503,633305
504,634211
505,635119
506,636012
507,636969
508,637876
509,638818
510,639793
511,640806
512,641847
513,642838
514,643890
515,644890
516,645926
517,646894
518,647860
519,648846
520,649809
521,650903
522,651895
523,652909
524,653873
525,654878
526,655848
527,656820
528,657862
529,658873
530,659874
531,660907
532,661893
533,662960
534,663978
535,664997
536,665996
537,666963
538,668008
539,669083
540,670175
541,671232
542,672303
543,673398
544,674535
545,675669
546,676801
547,677949
548,679183
549,680321
550,681519
551,682683
552,683863
553,685077
554,686257
555,687487
556,688687
557,689913
558,691109
559,692287
560,693589
561,694798
562,696099
563,697374
564,698650
565,699761
566,700882
567,701961
568,702996
569,704089
570,705167
571,706253
572,707306
573,708289
574,709277
575,710336
576,711365
577,712420
578,713498
579,714434
580,715377
581,716383
582,717411
583,718454
584,719543
585,720578
586,721659
587,722833
588,723916
589,725070
590,726267
591,727593
592,728909
593,730214
594,731600
595,733070
596,734528
597,735882
598,737358
599,738838
600,740413
601,742027
602,743675
603,745332
604,746957
605,748654
606,750336
607,751902
608,753502
609,755157
610,756756
611,758414
612,760084
613,761817
614,763492
615,765213
616,766974
617,768747
618,770502
619,772228
620,773999
621,775712
622,777319
